지역,2006(01),2006(02),2006(03),2006(04),2007(01),2007(02),2007(03),2007(04),2008(01),2008(02),2008(03),2008(04),2009(01),2009(02),2009(03),2009(04),2010(01),2010(02),2010(03),2010(04),2011(01),2011(02),2011(03),2011(04),2012(01),2012(02),2012(03),2012(04),2013(01),2013(02),2013(03),2013(04),2014(01),2014(02),2014(03),2014(04),2015(01),2015(02),2015(03),2015(04),2016(01),2016(02),2016(03),2016(04),2017(01),2017(02),2017(03),2017(04),2018(01),2018(02),2018(03),2018(04),2019(01),2019(02)
서울 종로구,59.4,58.5,60.5,66.1,70.9,71,71.4,74.5,76,79.5,81.3,73.6,75,78.2,82.9,82.3,84.9,80.8,81,80.7,84.4,85.4,85.4,84.7,83.2,85.9,82.1,79,81.7,81.9,82.5,81.5,81.8,82.2,83.1,82.9,84.5,85.9,87.9,89.3,89.9,90.1,92.2,93.7,95.2,96.2,98.8,100,102.7,106.1,111,113.9,114.8,114.6
서울 중구,59.8,60.6,62.3,66.6,70.7,70.6,72.3,72.9,75.7,79.6,81,73,72.1,76.3,80.5,83,81.1,78.6,78.8,79.2,82.2,80.5,81.4,80.5,79.8,78.2,75.7,75.3,75.8,76.6,76,76.7,78.2,78.2,78.8,79.8,81,82.8,84.3,85.9,85.5,87,89.7,91.3,92,93.9,97.4,100,105.1,110.9,119.6,124.7,120.1,122.4
서울 용산구,56.5,58.7,63.8,69.6,71.3,72.5,77.1,81.6,81.5,84,83.4,76.3,74,79.1,84.1,84.9,85.2,81.6,79.4,78.3,80.2,79.7,78.4,76.8,75.8,74.6,72.8,71.2,71,71.3,71,70.7,71.8,71.6,72.2,73.8,75,77.4,79.9,81.5,81.7,82.6,85.7,87.9,88.6,91.4,97.3,100,107.3,115.7,124.6,126,123.7,124.6
서울 성동구,56.7,58.9,61.4,66.6,73.3,72.8,73.7,73.3,74.8,77.5,76.9,69,69.2,72.6,76,76.3,76.1,73.8,72.3,72.7,74.3,73.5,73,72.4,71.1,70.2,68.1,67.1,67.5,67.8,68,68.8,69.9,70.1,70.4,71.6,72.9,75.1,77.5,79.1,79.7,80.7,83.7,86.6,86.5,90.1,95.6,100,108.9,116.7,123.2,127.8,121.5,124.4
서울 광진구,57.1,59.4,62.6,71.5,75.7,72.6,74.7,74.4,76.3,79,78.9,69.2,71.1,75.8,80.4,80.5,81.3,78.4,76.3,78.1,80.2,80,79.1,78.1,76.9,75.7,73.9,73.4,73.7,73.9,74.1,75.5,76.5,76.6,78,79,80.4,81.9,83,84,83.5,85,87,89.1,88.6,90.5,95.1,100,107.7,111.8,117.8,121.2,114,117.4
서울 동대문구,58.3,58.4,59.9,63.7,70,71.7,73.6,75.3,78.4,84,86,78.9,77.9,80.5,84.5,84,84.6,81.9,80.7,80.6,82.8,82.5,82.4,81.9,80.8,79.4,77.5,76.2,76,76.3,76.6,77.7,79,79.2,80,80.7,82.1,84.1,86.5,87.7,87.8,88.4,90.8,92.2,92.4,94.1,97.4,100,105.5,112.8,120.7,126.8,122.5,124.5
서울 중랑구,55.3,55.9,56.8,62.1,67.7,69.1,71.6,74,79,88.3,92,83.2,81.2,84.7,89,89.4,89.5,87.1,85.1,85,87,87,86.3,86.1,85.2,83.2,81.9,80.7,80.6,80.7,80.7,81.7,82.3,82.2,82.6,82.7,84.5,87.2,90,90.7,90.5,91,92.9,94.6,94.7,96.1,98.5,100,102,104.5,111.3,118.3,118.2,119
서울 성북구,60,60.8,62.4,67.4,73.9,75.5,77.6,78.5,83,88.8,90.1,83.8,80.9,83.5,86.6,86.7,86,83,80.3,81.8,84.8,84.6,84.4,83.2,82.3,80.4,78.3,77.8,77.5,77.9,78.7,79.8,80.8,81.1,81.5,82.4,83.8,86,89,91,90.7,91.4,93.7,95.7,95.4,96.3,98.6,100,102.6,107.9,115.7,125.8,121,120.5
서울 강북구,55,54.9,55.8,61.6,68.4,70.6,73.3,78.5,83.8,91.1,93.6,86.5,82.3,85.6,89.9,90.3,88.7,85.7,82.1,83,86.2,86.1,85.8,85,83.4,82.4,80,79.4,79.5,79.8,80.9,81.8,82.1,82.6,82.8,83.5,84.6,86.8,89.4,91,90.8,91.6,94.1,96.4,95.8,96.7,98.9,100,100.9,103.8,111.1,119.9,115.2,115.2
서울 도봉구,52.5,52.5,53.7,59.2,68.2,70.2,72.7,75,81.6,93.7,94.7,85.1,82.8,86.5,92.5,91.3,90.3,85.9,82.1,83.3,85.7,84.7,84.3,83.3,82.1,79.5,77.3,76.5,76.3,76.9,77.9,78.8,79.5,79.2,80.1,80.8,82,83.8,86.1,87.8,87.7,88.8,91.6,93.8,92.9,95.2,99.2,100,101.2,102.7,109.1,118,116.1,116.4
